Time (s),Channel 1 (V),Channel 2 (V)
-2.53888,2.503548981998673,2.515299211735859
-2.53856264,2.503548981998673,2.515299211735859
-2.53824528,2.505422183833416,2.515299211735859
-2.53792792,2.505422183833416,2.515299211735859
-2.53761056,2.505422183833416,2.515299211735859
-2.5372932,2.505422183833416,2.51529921173586
-2.53697584,2.505422183833416,2.516234989326033
-2.53665848,2.505422183833416,2.515299211735859
-2.53634112,2.505422183833416,2.515299211735859
-2.53602376,2.505422183833416,2.515299211735859
-2.5357064,2.504485582916046,2.514363434145685
-2.53538904,2.504485582916045,2.514363434145684
-2.53507168,2.505422183833415,2.515299211735859
-2.53475432,2.504485582916045,2.515299211735859
-2.53443696,2.504485582916045,2.515299211735859
-2.5341196,2.504485582916045,2.516234989326033
-2.53380224,2.504485582916045,2.516234989326033
-2.53348488,2.504485582916045,2.51529921173586
-2.53316752,2.504485582916045,2.515299211735859
-2.53285016,2.504485582916045,2.515299211735859
-2.5325328,2.504485582916045,2.515299211735859
-2.53221544,2.504485582916045,2.515299211735859
-2.53189808,2.504485582916045,2.515299211735859
-2.53158072,2.505422183833416,2.515299211735859
-2.53126336,2.505422183833416,2.515299211735859
-2.530946,2.504485582916045,2.515299211735859
-2.53062864,2.504485582916045,2.515299211735859
-2.53031128,2.504485582916045,2.515299211735859
-2.52999392,2.504485582916045,2.515299211735859
-2.52967656,2.504485582916045,2.515299211735859
-2.5293592,2.504485582916045,2.514363434145685
-2.52904184,2.504485582916045,2.514363434145684
-2.52872448,2.504485582916044,2.514363434145684
-2.52840712,2.503548981998673,2.514363434145684
-2.52808976,2.504485582916045,2.514363434145684
-2.5277724,2.504485582916045,2.514363434145684
-2.52745504,2.503548981998673,2.514363434145684
-2.52713768,2.503548981998673,2.514363434145684
-2.52682032,2.503548981998673,2.514363434145684
-2.52650296,2.503548981998673,2.514363434145684
-2.5261856,2.503548981998673,2.514363434145684
-2.52586824,2.503548981998673,2.514363434145684
-2.52555088,2.503548981998673,2.514363434145684
-2.52523352,2.503548981998673,2.515299211735859
-2.52491616,2.504485582916044,2.515299211735859
-2.5245988,2.504485582916046,2.51529921173586
-2.52428144,2.505422183833416,2.516234989326033
-2.52396408,2.504485582916045,2.515299211735859
-2.52364672,2.504485582916045,2.515299211735859
-2.52332936,2.504485582916045,2.515299211735859
-2.523012,2.504485582916045,2.515299211735859
-2.52269464,2.504485582916045,2.515299211735859
-2.52237728,2.504485582916045,2.515299211735859
-2.52205992,2.504485582916045,2.515299211735859
-2.52174256,2.503548981998673,2.515299211735859
-2.5214252,2.503548981998673,2.515299211735859
-2.52110784,2.503548981998673,2.515299211735859
-2.52079048,2.503548981998673,2.515299211735859
-2.52047312,2.504485582916044,2.515299211735859
-2.52015576,2.503548981998673,2.515299211735859
-2.5198384,2.503548981998673,2.516234989326033
