Time (s),Channel 1 (V)
-6.648179332169359,0.008649983206872144
-6.647742842169358,0.00537603638853909
-6.647306352169358,-0.004936896089210031
-6.646869862169358,-0.01205773041907817
-6.646433372169358,-0.008620086259834719
-6.645996882169358,-0.01492243388512585
-6.645560392169358,-0.01426764452145924
-6.645123902169359,-0.01827822937390993
-6.644687412169358,-0.02548091237424994
-6.644250922169358,-0.001908495282251956
-6.643814432169358,0.02199131649157934
-6.643377942169359,0.0287029074691621
-6.642941452169358,0.01994509973012118
-6.642504962169358,0.01994509973012118
-6.642068472169358,0.0162619095594965
-6.641631982169359,0.01331535742299675
-6.641195492169358,0.01020510794558034
-6.640759002169358,0.004639398354414152
-6.640322512169358,-0.02024259746491706
-6.639886022169359,-0.01533167723741748
-6.639449532169358,-0.01320361180550099
-6.639013042169358,-0.01328546047595932
-6.638576552169358,-0.009356724293952956
-6.638140062169358,-0.005673534123334968
-6.637703572169358,-0.01418579585100091
-6.637267082169358,-0.02327099827187513
-6.636830592169359,-0.04029552172717605
-6.636394102169358,-0.0318651086699994
-6.635957612169358,-0.03260174670412434
-6.635521122169358,-0.03374762809054091
-6.635084632169359,-0.03047368127220785
-6.634648142169358,-0.03546645017016576
-6.634211652169358,-0.03211065468137438
-6.633775162169358,0.02641114469632896
-6.633338672169359,0.03361382769666169
-6.632902182169358,0.03353197902620336
-6.632465692169358,0.03541449844674487
-6.632029202169358,0.02968509151466202
-6.631592712169359,0.0358237417990365
-6.631156222169358,0.03516895243536988
-6.630719732169358,0.02379198724166252
-6.630283242169358,0.03320458434433819
-6.629846752169358,0.01568896886628821
-6.629410262169358,0.01642560690041315
-6.628973772169358,0.01740779094591307
-6.628537282169359,0.01069619996834251
-6.628100792169358,0.008568134536413818
-6.627664302169358,0.003084273615705951
-6.627227812169358,-0.006819415509751538
-6.626791322169359,-0.01164848706679279
-6.626354832169358,-0.009193026953043002
-6.625918342169358,-0.01590461793062576
-6.625481852169358,-0.0138584011691676
-6.625045362169359,-0.02065184081720869
-6.624608872169358,-0.02531721503333329
-6.624172382169358,0.004803095695330805
-6.623735892169358,0.02551080932128737
-6.623299402169359,0.0271477827304539
-6.622862912169358,0.0196995537187462
-6.622426422169358,0.01978140238920453
-6.621989932169358,0.01585266620719965
-6.621553442169358,0.01298796274116344
-6.621116952169358,0.009222923900080428
-6.620680462169358,0.003002424945247625
-6.620243972169359,-0.02458057699915819
-6.619807482169358,-0.01312176313504267
-6.619370992169358,-0.01377655249870928
-6.618934502169358,-0.01222142776000108
-6.618498012169359,-0.008456388918918065
-6.618061522169358,-0.006164626146084927
-6.617625032169358,-0.0166412559647507
-6.617188542169358,-0.02621755040837488
-6.616752052169359,-0.04078661374995697
-6.616315562169358,-0.03047368127220785
-6.615879072169358,-0.03399317410191589
-6.615442582169358,-0.03251989803366601
-6.615006092169359,-0.03121031930633279
-6.614569602169358,-0.03554829884062409
-6.614133112169358,-0.02981889190854124
-6.613696622169358,0.03917953728781164
-6.613260132169358,0.0302580322078703
-6.612823642169358,0.0361511364808698
-6.612387152169358,0.03369567636712001
-6.611950662169359,0.02968509151466931
-6.611514172169358,0.03696962318545306
-6.611077682169358,0.03410491971941164
-6.610641192169358,0.02371013857120419
-6.610204702169359,0.03099467024199524
-6.609768212169358,0.01454308747987164
-6.609331722169358,0.01708039626407976
-6.608895232169358,0.01601636354812152
-6.608458742169359,0.009632167252372061
-6.608022252169358,0.008649983206872144
-6.607585762169358,0.001610997547456077
-6.607149272169358,-0.009847816316709612
-6.606712782169359,-0.0104207570099179
-6.606276292169358,-0.009929664987167939
-6.605839802169358,-0.01615016394200074
-6.605403312169358,-0.01394024983964141
-6.604966822169358,-0.02245251156729187
-6.604530332169358,-0.0228617549195835
-6.604093842169358,0.01020510794558034
-6.603657352169359,0.02804811810546303
-6.603220862169358,0.02469232261670411
-6.602784372169358,0.01986325105966286
-6.602347882169358,0.01879921834370461
-6.601911392169359,0.01478863349124662
-6.601474902169358,0.01233317337749683
-6.601038412169358,0.008158891184122184
-6.600601922169358,0.001283602865622772
-6.600165432169359,-0.02679049110158317
-6.599728942169358,-0.01222142776000108
-6.599292452169358,-0.01418579585100091
-6.598855962169358,-0.01148478972587614
-6.598419472169359,-0.007474204873418148
-6.597982982169358,-0.006819415509751538
-6.597546492169358,-0.01827822937391723
-6.597110002169358,-0.02981889190855955
-6.596673512169358,-0.03988627837491539
-6.596237022169358,-0.02973704323808292
-6.595800532169358,-0.03432056878374919
-6.595364042169359,-0.03145586531771298
-6.594927552169358,-0.03178325999954108
-6.594491062169358,-0.03538460149970744
-6.594054572169358,-0.02376209029462509
-6.593618082169359,0.04646406895861892
-6.593181592169358,0.02862105879870377
-6.592745102169358,0.03737886653774469
-6.592308612169358,0.03222240029887014
-6.591872122169359,0.03099467024199524
-6.591435632169358,0.03680592584453641
-6.590999142169358,0.03295903833299507
-6.590562652169358,0.02510156596899574
-6.590126162169359,0.02763887475320386
-6.589689672169358,0.01388829811620503
-6.589253182169358,0.01830812632095466
-6.588816692169358,0.01478863349123679
-6.588380202169358,0.009386621240997081
-6.587943712169358,0.007667799161372228
-6.587507222169358,-2.597586171045003e-05
-6.587070732169359,-0.01107554637356441
-6.586634242169358,-0.009684118975792959
-6.586197752169358,-0.01148478972587614
-6.585761262169358,-0.01606831527154241
-6.585324772169359,-0.01418579585100091
-6.584888282169358,-0.02359839295370844
-6.584451792169358,-0.01811453203300057
-6.584015302169358,0.01429754146849666
-6.583578812169359,0.02968509151466202
-6.583142322169358,0.02289165186662093
-6.582705832169358,0.01978140238920453
-6.582269342169358,0.01838997499141298
-6.581832852169359,0.01446123880941332
-6.581396362169358,0.0119239300252052
-6.580959872169358,0.007176707138622269
-6.580523382169358,-0.004609501407413202
-6.580086892169358,-0.02466242566966668
-6.579650402169358,-0.01148478972587614
-6.579213912169358,-0.01418579585100091
-6.578777422169359,-0.01074815169175746
-6.578340932169358,-0.006410172157459906
-6.577904442169358,-0.008701934930293045
-6.577467952169358,-0.01934226208987547
-6.577031462169359,-0.03374762809054091
-6.576594972169358,-0.03751266693162392
-6.576158482169358,-0.02973704323808292
-6.575721992169358,-0.0346479634655825
-6.575285502169359,-0.03055552994266618
-6.574849012169358,-0.03243804936320768
-6.574412522169358,-0.03513905548833245
-6.573976032169358,-0.009765967646251286
-6.573539542169359,0.04499079289036904
-6.573103052169358,0.0287029074691621
-6.572666562169358,0.03786995856049465
-6.572230072169358,0.03083097290108127
-6.571793582169358,0.03230424896932846
-6.571357092169358,0.03639668249224478
-6.570920602169358,0.02911215082145373
-6.570484112169359,0.02870290746916285
-6.570047622169358,0.02411938192349583
-6.569611132169358,0.01372460077528838
-6.569174642169358,0.01838997499141298
-6.568738152169359,0.01339720609345507
-6.568301662169358,0.008977377888705448
-6.567865172169358,0.00693116112724729
-6.567428682169358,-0.002235889964085262
-6.566992192169359,-0.01181218440770945
-6.566555702169358,-0.008947480941668022
-6.566119212169358,-0.01271251978275104
-6.565682722169358,-0.01549537457833413
-6.565246232169359,-0.01557722324879246
-6.564809742169358,-0.02449872832875003
-6.564373252169358,-0.01148478972587614
-6.563936762169358,0.01757148828685205
-6.563500272169358,0.02984878885557867
-6.563063782169358,0.02141837579837106
-6.562627292169358,0.01961770504828788
-6.562190802169359,0.01765333695729162
-6.561754312169358,0.01356090343437173
-6.561317822169358,0.01135098933199691
-6.560881332169358,0.006358220434039006
-6.560444842169359,-0.01091184903266786
-6.560008352169358,-0.02048814347629204
-6.559571862169358,-0.01263067111229271
-6.559135372169358,-0.0138584011691676
-6.558698882169359,-0.01009336232808459
-6.558262392169358,-0.006410172157459906
-6.557825902169358,-0.01025705966900125
-6.557389412169358,-0.02048814347629204
-6.556952922169359,-0.03710342357933229
-6.556516432169358,-0.03522090415879078
-6.556079942169358,-0.03047368127220785
-6.555643452169358,-0.03440241745419977
-6.555206962169358,-0.03014628659037455
-6.554770472169358,-0.0334202334087076
-6.554333982169358,-0.03423872011329086
-6.553897492169359,0.00504864170663432
-6.553461002169358,0.0408165106969944
-6.553024512169358,0.029930637526037
-6.552588022169358,0.037706261219578
-6.552151532169359,0.02927584816237038
-6.551715042169358,0.03361382769666169
-6.551278552169358,0.0364785311627031
-6.550842062169358,0.02493786862807909
-6.550405572169359,0.03254979498070344
-6.549969082169358,0.0196995537187462
-6.549532592169358,0.01487048216170495
-6.549096102169358,0.018144428980038
-6.548659612169359,0.01200577869566352
-6.548223122169358,0.008731831877330471
-6.547786632169358,0.005539733729455742
-6.547350142169358,-0.004282106725557266
-6.546913652169358,-0.01189403307816777
-6.546477162169358,-0.009193026953043002
-6.546040672169358,-0.01426764452145924
-6.545604182169359,-0.01484058521466648
-6.545167692169358,-0.01729604532841731
-6.544731202169358,-0.02548091237424994
-6.544294712169358,-0.00428210672554342
-6.543858222169359,0.02043619175287114
-6.543421732169358,0.02894845348053708
-6.542985242169358,0.02027249441195449
-6.542548752169358,0.01978140238920453
-6.542112262169359,0.0165893042413298
-6.541675772169358,0.01331535742299675
-6.541239282169358,0.01061435129787197
-6.540802792169358,0.004966793036247458
-6.540366302169359,-0.01729604532841731
-6.539929812169358,-0.01647755862383405
-6.539493322169358,-0.01336730914641765
-6.539056832169358,-0.0133673091464099
-6.538620342169359,-0.009111178282584675
-6.538183852169358,-0.005673534123334968
-6.537747362169358,-0.01336730914641765
-6.537310872169359,-0.02245251156727535
-6.536874382169358,-0.03906779167033212
-6.536437892169358,-0.03292914138595764
-6.536001402169358,-0.0315377139881661
-6.535564912169359,-0.03391132543145756
-6.535128422169358,-0.02990074057899957
-6.534691932169358,-0.03432056878374919
-6.534255442169358,-0.03292914138595764
-6.533818952169359,0.01994509973012118
-6.533382462169358,0.03590559046949482
-6.532945972169358,0.03222240029887014
-6.532509482169358,0.03598743913995315
-6.532072992169359,0.02952139417374536
-6.531636502169358,0.03484155775353658
-6.531200012169358,0.0361511364808698
-6.530763522169358,0.02321904654847121
-6.530327032169359,0.03254979498070344
-6.529890542169358,0.01724409360499641
-6.529454052169358,0.01560712019582988
-6.529017562169359,0.01748963961636796
-6.528581072169358,0.01102359465016361
-6.528144582169358,0.008649983206872144
-6.527708092169358,0.003739062979372562
-6.527271602169359,-0.006082777475626601
-6.526835112169358,-0.01164848706679279
-6.526398622169358,-0.009111178282584675
-6.525962132169358,-0.01500428255558417
-6.525525642169359,-0.01443134186237589
-6.525089152169358,-0.01909671607850049
-6.524652662169358,-0.02531721503333329
-6.524216172169358,0.002593181592955993
-6.523779682169359,0.02395568458257917
-6.523343192169358,0.02747517741228721
-6.522906702169358,0.01986325105966286
-6.522470212169358,0.01937215903690635
-6.522033722169359,0.01577081753674654
-6.521597232169358,0.01274241672978846
-6.521160742169358,0.009714015922830388
-6.520724252169359,0.003575365638467077
-6.520287762169358,-0.02155217619225028
-6.519851272169358,-0.01484058521466752
-6.519414782169358,-0.01320361180550099
-6.518978292169359,-0.01279436845320936
-6.518541802169358,-0.008865632271209695
-6.518105312169358,-0.005591685452876642
-6.517668822169358,-0.01557722324879246
-6.517232332169359,-0.02482612301058333
-6.516795842169358,-0.03980442970445706
-6.516359352169358,-0.03129216797679112
-6.515922862169358,-0.03268359537458267
-6.515486372169359,-0.03292914138595764
-6.515049882169358,-0.03047368127220785
-6.514613392169358,-0.03481166080649915
-6.514176902169358,-0.03071922728346566
-6.513740412169359,0.03369567636712001
-6.513303922169358,0.03140391359428687
-6.512867432169358,0.03492340642399491
-6.512430942169359,0.03402307104895495
-6.511994452169358,0.03009433486695365
-6.511557962169358,0.03557819578766151
-6.511121472169358,0.03435046573078662
-6.510684982169359,0.02338274388937089
-6.510248492169358,0.03091282157153691
-6.509812002169358,0.01511602817307993
-6.509375512169358,0.01650745557087148
-6.508939022169359,0.01650745557087148
-6.508502532169358,0.01004141060466369
-6.508066042169358,0.008322588525038838
-6.507629552169358,0.002102089570206035
-6.507193062169359,-0.008701934930293045
-6.506756572169358,-0.01058445435083455
-6.506320082169358,-0.01001151365762627
-6.505883592169358,-0.01574092058970598
-6.505447102169359,-0.01402209851008426
-6.505010612169358,-0.02147032752179195
-6.504574122169358,-0.02368024162416676
-6.504137632169359,0.008322588524980627
-6.503701142169358,0.02690223671907892
-6.503264652169358,0.02551080932128737
-6.502828162169358,0.0196995537187462
-6.502391672169359,0.01879921834370461
-6.501955182169358,0.01519787684353825
-6.501518692169358,0.01233317337749683
-6.501082202169358,0.008649983206872144
-6.500645712169359,0.002102089570206035
-6.500209222169358,-0.02498982035149999
