Time (s),Channel 1 (V)
-0.01547123260918253,2.67682015171234
-0.01547067260918253,2.672137147125485
-0.01547011260918253,2.666517541621262
-0.01546955260918253,2.660897936117036
-0.01546899260918253,2.656214931530177
-0.01546843260918253,2.652468527860682
-0.01546787260918253,2.647785523273829
-0.01546731260918253,2.645912321439082
-0.01546675260918253,2.6421659177696
-0.01546619260918253,2.635609711348008
-0.01546563260918253,2.62905350492641
-0.01546507260918253,2.624370500339551
-0.01546451260918253,2.615941092083203
-0.01546395260918253,2.617814293917946
-0.01546339260918253,2.610321486578977
-0.01546283260918253,2.603765280157379
-0.01546227260918253,2.597209073735782
-0.01546171260918253,2.598145674653153
-0.01546115260918253,2.594399270983669
-0.01546059260918253,2.590652867314172
-0.01546003260918253,2.584096660892571
-0.01545947260918253,2.575667252636231
-0.01545891260918253,2.567237844379938
-0.01545835260918253,2.564428041627804
-0.01545779260918253,2.559745037040955
-0.01545723260918253,2.560681637958306
-0.01545667260918253,2.553188830619368
-0.01545611260918253,2.546632624197767
-0.01545555260918253,2.539139816858802
-0.01545499260918253,2.535393413189297
-0.01545443260918253,2.534456812271921
-0.01545387260918253,2.528837206767703
-0.01545331260918253,2.522281000346107
-0.01545275260918253,2.51572479392451
-0.01545219260918253,2.514788193007128
-0.01545163260918253,2.506358784750802
-0.01545107260918253,2.503548981998673
-0.01545051260918253,2.499802578329189
-0.01544995260918253,2.496056174659705
-0.01544939260918253,2.486690165485994
-0.01544883260918253,2.486690165485994
-0.01544827260918253,2.48294376181651
-0.01544771260918253,2.480133959064396
-0.01544715260918253,2.472641151725419
-0.01544659260918253,2.467958147138562
-0.01544603260918253,2.462338541634336
-0.01544547260918253,2.45671893613014
-0.01544491260918253,2.451099330625913
-0.01544435260918253,2.443606523286951
-0.01544379260918253,2.437986917782718
-0.01544323260918253,2.427684307691653
-0.01544267260918253,2.426747706774248
-0.01544211260918253,2.419254899435303
-0.01544155260918253,2.410825491178952
-0.01544099260918253,2.408015688426829
-0.01544043260918253,2.407079087509454
-0.01543987260918253,2.406142486592083
-0.01543931260918253,2.396776477418387
-0.01543875260918253,2.393030073748893
-0.01543819260918253,2.3864738673273
-0.01543763260918253,2.381790862740433
-0.01543707260918253,2.379917660905691
-0.01543651260918253,2.372424853566722
-0.01543595260918253,2.366805248062496
-0.01543539260918253,2.355566037054043
-0.01543483260918253,2.354629436136672
-0.01543427260918253,2.350883032467187
-0.01543371260918253,2.34432682604559
-0.01543315260918253,2.336834018706618
-0.01543259260918253,2.334960816871872
-0.01543203260918253,2.331214413202408
-0.01543147260918253,2.323721605863453
-0.01543091260918253,2.319975202193955
-0.01543035260918253,2.311545793937632
-0.01542979260918253,2.308735991185499
-0.01542923260918253,2.301243183846547
-0.01542867260918253,2.293750376507578
-0.01542811260918253,2.28625756916861
-0.01542755260918253,2.288130771003321
-0.01542699260918253,2.28063796366437
-0.01542643260918253,2.273145156325401
-0.01542587260918253,2.274081757242757
-0.01542531260918253,2.261905945316957
-0.01542475260918253,2.259096142564827
-0.01542419260918253,2.257222940730083
-0.01542363260918253,2.245983729721626
-0.01542307260918253,2.242237326052142
-0.01542251260918253,2.230061514126318
-0.01542195260918253,2.230061514126318
-0.01542139260918253,2.220695504952607
-0.01542083260918253,2.219758904035236
-0.01542027260918253,2.211329495778896
-0.01541971260918253,2.210392894861511
-0.01541915260918253,2.202900087522553
-0.01541859260918253,2.201026885687825
-0.01541803260918253,2.199153683853079
-0.01541747260918253,2.189787674679395
-0.01541691260918253,2.184168069175155
-0.01541635260918253,2.185104670092502
-0.01541579260918253,2.173865459084094
-0.01541523260918253,2.17105565633195
-0.01541467260918253,2.164499449910366
-0.01541411260918253,2.155133440736648
-0.01541355260918253,2.152323637984523
-0.01541299260918253,2.14857723431504
-0.01541243260918253,2.137338023306601
-0.01541187260918253,2.133591619637103
-0.01541131260918253,2.128908615050249
-0.01541075260918253,2.122352408628656
-0.01541019260918253,2.114859601289675
-0.01540963260918253,2.109239995785448
-0.01540907260918253,2.107366793950706
-0.01540851260918253,2.098937385694366
-0.01540795260918253,2.095190982024882
-0.01540739260918253,2.085824972851171
-0.01540683260918253,2.083951771016429
-0.01540627260918253,2.074585761842703
-0.01540571260918253,2.06615635358637
-0.01540515260918253,2.061473348999549
-0.01540459260918253,2.053980541660581
-0.01540403260918253,2.058663546247393
-0.01540347260918253,2.051170738908468
-0.01540291260918253,2.042741330652132
-0.01540235260918253,2.03524852331316
-0.01540179260918253,2.029628917808927
-0.01540123260918253,2.026819115056803
-0.01540067260918253,2.01651650496573
-0.01540011260918253,2.009023697626756
-0.01539955260918253,2.009960298544112
-0.01539899260918253,1.995911284783573
-0.01539843260918253,1.994038082948809
-0.01539787260918253,1.991228280196697
-0.01539731260918253,1.981862271022999
-0.01539675260918253,1.978115867353497
-0.01539619260918253,1.968749858179786
-0.01539563260918253,1.961257050840818
-0.01539507260918253,1.96313025267556
-0.01539451260918253,1.957510647171333
-0.01539395260918253,1.950954440749736
-0.01539339260918253,1.945334835245509
-0.01539283260918253,1.936905426989157
