Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1,0.008091887737468224,-0.003225564261809202,-0.4751784910693857
1.023292992280754,0.008188570990444266,-0.002788940045170468,-0.4857114122913515
1.047128548050898,0.009412255115500008,-0.0009963863338065745,-0.5092637230164172
1.071519305237607,0.009003226075921298,-0.001037465233188729,-0.5071677336635858
1.096478196143185,0.01036355320380471,-0.002275840932715964,-0.5181957795101262
1.122018454301963,0.00925997188586029,0.0003176836773883285,-0.5287975046404831
1.148153621496884,0.009445210569930728,0.0007311598073454467,-0.5424492413165254
1.17489755493953,0.01135479222077632,-2.451696724758193e-05,-0.5646676154321923
1.202264434617413,0.01003069939790166,0.004632784855116127,-0.5673169365255859
1.230268770812381,0.009044012652039652,0.005204905667813018,-0.5744603461917421
1.258925411794166,0.009602099044800819,0.006226200161765131,-0.5951290473592223
1.288249551693135,0.01003041294391394,0.004183726112746118,-0.6185712065370694
1.318256738556407,0.008955605851241144,0.008330362882196104,-0.619649632925217
1.348962882591653,0.01023873461360383,0.009517941292248738,-0.6306864909437877
1.380384264602887,0.0104809717213411,0.009425663403119969,-0.6496939193318951
1.412537544622755,0.01028859296882217,0.01167983641484708,-0.6678275319237912
1.445439770745928,0.009274163714209796,0.01409504519315535,-0.6928542763292143
1.479108388168207,0.008609125244073895,0.01598532140968473,-0.7045799391903103
1.513561248436207,0.01030900342441443,0.01704517227807281,-0.7275636286567746
1.548816618912483,0.01077459208953708,0.01892065970121289,-0.7331049162321577
1.584893192461114,0.009722415000428275,0.0201480661833364,-0.7400994230519808
1.62181009735893,0.01015723306161575,0.02234303494719882,-0.7764903596784833
1.659586907437563,0.01110627998533117,0.02428421464809869,-0.7871534610526751
1.698243652461746,0.009211717355716256,0.02689582626429189,-0.8112331086634725
1.737800828749376,0.01183519831928129,0.02874015756297695,-0.8291416581079005
1.778279410038923,0.01025795478496092,0.0317572638216526,-0.8548539640583783
1.819700858609983,0.01051693501919354,0.0329438220965935,-0.8680367906006552
1.86208713666287,0.009276696955272681,0.03855460502953612,-0.898069612919727
1.905460717963248,0.01311290849481578,0.03632690411490153,-0.898224201197479
1.949844599758046,0.0103574352193004,0.03890141111010798,-0.9258185119574733
1.995262314968883,0.009999612933954665,0.04573253245128778,-0.9537619561065895
2.041737944669532,0.008226894430668598,0.0477029053234508,-0.9695443899715777
2.089296130854041,0.008584150257571775,0.05157204676587378,-1.016710768189817
2.137962089502232,0.01124309560265544,0.0532699600576805,-1.027259550272916
2.187761623949552,0.009892726441844427,0.05870555936891872,-1.037000940069092
2.238721138568343,0.01146937734359473,0.06125074467031096,-1.073074761747137
2.29086765276777,0.01140627905185196,0.0672042645405473,-1.101552144668887
2.344228815319923,0.009805491738997578,0.0711332459532161,-1.124435398545018
2.39883291901949,0.009144981584520175,0.0763748839529302,-1.151100277409768
2.454708915685028,0.00906014369296333,0.08154012976612808,-1.17743033844647
2.511886431509577,0.007568591083037612,0.08910998632001896,-1.212176767517594
2.570395782768864,0.0100191271142705,0.08937883932735,-1.238561594161197
2.630267991895381,0.008668429208413105,0.09664569530910608,-1.285177267245672
2.691534803926914,0.01034834543689222,0.09924659115039895,-1.306376153494483
2.754228703338163,0.0100089525971381,0.107075388448707,-1.325215315997127
2.818382931264455,0.008645179692032405,0.1143203464487714,-1.36259795284488
2.884031503126606,0.00785189904080748,0.1204120185662192,-1.399052274904317
2.951209226666384,0.0110798973256029,0.1267621465921725,-1.431217276979609
3.019951720402013,0.00750618849987637,0.1334382243060787,-1.476181413858029
3.090295432513592,0.007627396994051393,0.1405510788540747,-1.502990163218527
3.16227766016838,0.009836314925382355,0.1503863349408326,-1.555051997010651
3.235936569296281,0.007590844350365751,0.1572207550404222,-1.576642197266693
3.311311214825908,0.005986332802584049,0.1671965007366047,-1.625897011855578
3.388441561392028,0.009415982332141869,0.1729102527764745,-1.658658370945771
3.467368504525317,0.006681638555448357,0.1865246953461211,-1.691555524939758
3.548133892335753,0.006218276858131504,0.1955452162403811,-1.747900562751454
3.63078054770101,0.007884382844602838,0.2051466977922365,-1.784350767552269
3.715352290971728,0.005308758369328179,0.2183198507094282,-1.830961831541259
3.801893963205612,0.01018854923759479,0.2267105895024221,-1.866944770234802
3.890451449942804,0.002255625068825927,0.2432656269549207,-1.932653976405369
3.98107170553497,0.004762269041613251,0.2560394590819939,-1.991928040535328
4.07380277804113,0.006787012279597096,0.2678588715354844,-2.044315072297053
4.168693834703356,0.005335151836662681,0.28282104227256,-2.085671563165107
4.265795188015925,0.003938253413854981,0.3004685735718087,-2.135081789525074
4.365158322401657,0.005094322852755653,0.3146581543258408,-2.200410365991726
4.466835921509634,0.004514830217072535,0.3312112136146353,-2.264334201625509
4.570881896148752,0.005196820219539164,0.3480252971304472,-2.316537726615508
4.677351412871981,0.004802740044477041,0.3673253587524994,-2.388864511915074
4.78630092322638,0.007579384515830425,0.3839934592907508,-2.46281977759169
4.897788193684466,0.005447109649160286,0.4070942597089997,-2.518931470719528
5.011872336272726,0.003349033546859778,0.4297735546921416,-2.595872800100608
5.128613839913648,0.006932240031257637,0.4489861630661175,-2.660737611175875
5.248074602497724,0.002406410458079179,0.4760556346641504,-2.754358030856622
5.370317963702533,0.004754001846627963,0.4978008101848709,-2.819212787750118
5.495408738576248,0.002780678115984377,0.5275270192653467,-2.917684728542767
5.62341325190349,0.002253999938699997,0.5549946328587805,-2.993762722813813
5.754399373371567,0.0004201453055917756,0.5837056099244917,-3.094722730979754
5.888436553555896,0.001210067932864867,0.6131588677247921,-3.174912798148886
6.02559586074358,0.001841116091656389,0.6466626192468281,-3.27401311163915
6.165950018614822,0.00170706239145856,0.6795232369312709,-3.390020781490364
6.309573444801929,-0.001764896934442533,0.7178273147971804,-3.495524894474514
6.456542290346563,-0.000793232641314473,0.7552203689897442,-3.600573304625478
6.606934480075965,-0.002471096866612668,0.7955702489404749,-3.719398437164614
6.760829753919819,-0.003846775917740702,0.8400079946055088,-3.829506356858928
6.918309709189362,-0.003005967251676737,0.8824940652328781,-3.954512989731654
7.079457843841388,-0.001980992821728353,0.9305498755925173,-4.104769808311062
7.244359600749891,-0.00388768931426853,0.9821168212663642,-4.254924375455998
7.413102413009161,-0.008347828273340914,1.038081053628428,-4.356493820149524
7.585775750291836,-0.006257383247341065,1.091044895694157,-4.538510633030057
7.762471166286911,-0.00863888978963062,1.15048092738422,-4.70301197644978
7.943282347242806,-0.009037242641137221,1.212945859564961,-4.882051418246348
8.128305161640995,-0.01058466960764494,1.279490376864641,-5.043904443586797
8.317637711026709,-0.01099508072721332,1.348836150481806,-5.242454362559315
8.511380382023759,-0.01137524565491155,1.42293446447207,-5.461605671488435
8.709635899560796,-0.01327099716570642,1.500048530801683,-5.670226507927993
8.912509381337442,-0.01502711435447166,1.58425059158522,-5.906319006150241
9.120108393559097,-0.01578859912894346,1.673149290426812,-6.159412099872031
9.332543007969905,-0.01807473761298532,1.768343090945518,-6.431128188334299
9.54992586021435,-0.02058113894914576,1.871466909863202,-6.720976496888312
9.77237220955811,-0.02680967282480297,1.980758119110907,-7.032358085360578
10,-0.02819205509610404,2.098230655708187,-7.380358633366939
10.23292992280754,-0.03473297099166487,2.226738937813652,-7.771409533032028
10.47128548050899,-0.03853176715032895,2.358536548870022,-8.167210189535064
10.71519305237606,-0.04334692277836413,2.503150257868836,-8.614896627280331
10.96478196143185,-0.04730361695976799,2.655337299462816,-9.104476457139327
11.22018454301963,-0.05110483596891205,2.816596076192743,-9.655376128647859
11.48153621496882,-0.06087955887687042,2.992927099991753,-10.26554515982984
11.74897554939529,-0.06625979504285359,3.180393477271117,-10.92533517229403
12.02264434617413,-0.07453513295174929,3.380260418620857,-11.67687547587074
12.30268770812381,-0.08431372828703701,3.597034975886811,-12.49472470183601
12.58925411794166,-0.09196367041100244,3.82552156218063,-13.43810240721822
12.88249551693134,-0.1069703788578243,4.074144373876028,-14.46884512379121
13.18256738556407,-0.1193172582063697,4.335343996557482,-15.64691055325667
13.48962882591653,-0.1362753423714572,4.617768434167057,-17.01699074240456
13.80384264602884,-0.1584672035523981,4.918965486784898,-18.57514256886562
14.12537544622754,-0.1818588168295149,5.231097438961978,-20.30805895326121
14.45439770745928,-0.2069604302547715,5.549987870526033,-22.24045473656223
14.79108388168207,-0.2384362978955007,5.872626914400733,-24.37604890380121
15.13561248436207,-0.274911782494195,6.195408164890443,-26.66209022644904
15.48816618912481,-0.3107655915503509,6.50727476767417,-29.08198117659342
15.84893192461114,-0.3530120542018507,6.810947623169803,-31.67795198197598
16.2181009735893,-0.4008755601787785,7.104173799054423,-34.36400304535422
16.5958690743756,-0.4503152484931289,7.381297059484032,-37.15119731222659
16.98243652461744,-0.4994001220538991,7.638737958298087,-39.99948733971002
17.37800828749376,-0.5557177310835458,7.880562135279549,-42.92601382810666
17.78279410038923,-0.6113805864226184,8.105797047786274,-45.95429696649511
18.19700858609983,-0.6645588437040522,8.309727424900856,-49.12257609137278
18.62087136662868,-0.721242307883043,8.496737986629178,-52.430226022556
19.05460717963248,-0.7797611794949367,8.664362455895965,-55.94620563198563
19.49844599758046,-0.839357669449448,8.807813902947547,-59.72366391849282
19.95262314968879,-0.8936447428458194,8.917875126406109,-63.82755465108262
20.4173794466953,-0.9482009024492121,8.995454640746738,-68.35517112155827
20.89296130854041,-0.9961433732517175,9.024789912300317,-73.42720788451776
21.37962089502232,-1.030162493151385,8.982029169104521,-79.25872384727893
21.87761623949552,-1.046135034823505,8.830324172020848,-86.18284605070734
22.3872113856834,-1.02237931780583,8.470173331830296,-94.8801880058594
22.90867652767775,-0.9203734636818727,7.645209229061534,-106.5928025403666
23.44228815319923,-0.7162059427173894,6.078882309996408,-119.91703938525
23.9883291901949,-0.5764853863378658,4.72206058412884,-128.0172040708665
24.54708915685031,-0.486359455358954,3.694223402941814,-133.2085711920117
25.11886431509582,-0.4232612876127636,2.818139734162065,-137.0999072068236
25.70395782768865,-0.3718494032547187,2.034954835561758,-140.2017220733721
26.30267991895381,-0.3341909621296391,1.31074802796742,-142.8369054899823
26.91534803926917,-0.3022666629694443,0.6336730463924223,-145.1048150201884
27.54228703338169,-0.2704550880716582,-0.01449453469604192,-147.0953015321798
28.18382931264455,-0.2494119949431417,-0.6360176444258571,-148.8467047255806
28.84031503126606,-0.2297835446749535,-1.24146709491915,-150.4141367758251
29.51209226666387,-0.2129661164177475,-1.825742662580685,-151.8435123941384
30.19951720402019,-0.1942536992561713,-2.395561693787028,-153.1499140018856
30.90295432513592,-0.1760590966113364,-2.951936712353704,-154.3208458265603
31.62277660168379,-0.167417094558088,-3.500882914694897,-155.4053730189224
32.35936569296284,-0.1531363000173097,-4.040039448264592,-156.4097266345403
33.11311214825914,-0.1413379939798215,-4.570653521256194,-157.3144924584363
33.88441561392028,-0.1338041462414386,-5.092995845528878,-158.1720936919131
34.67368504525317,-0.1226585408141234,-5.610764442797594,-158.9473939118256
35.48133892335757,-0.1162079379058441,-6.115895462928783,-159.658452420147
36.30780547701018,-0.1121198411623903,-6.6225582247618,-160.330589032384
37.15352290971728,-0.1067545472747191,-7.12622455851303,-160.9561940030808
38.01893963205612,-0.1051046874385761,-7.620217678381367,-161.5075770544146
38.90451449942809,-0.09810256709465955,-8.110438184292002,-162.0339789050522
39.81071705534978,-0.0944576911099505,-8.591935879507805,-162.5695914776836
40.7380277804113,-0.09001387810442975,-9.076647742045028,-163.0173477982669
41.68693834703355,-0.08319289609381841,-9.549330774414521,-163.4635871378769
42.6579518801593,-0.07869014086992404,-10.01742127229346,-163.8725207547107
43.65158322401665,-0.07686151855115483,-10.48237837698242,-164.2467827254824
44.66835921509634,-0.07302844798704049,-10.95495889879646,-164.6498458828117
45.70881896148752,-0.0697747778438635,-11.41797237292045,-164.954328682893
46.77351412871986,-0.06554012774102004,-11.88434514401986,-165.2180886726397
47.86300923226391,-0.06374474381774925,-12.34897055601276,-165.5023368320163
48.97788193684466,-0.06210351757359947,-12.79116093769249,-165.7711061948565
50.11872336272725,-0.05878310357756197,-13.24220738397586,-166.025328843994
51.28613839913654,-0.05487803058113062,-13.69205019712433,-166.3621838121182
52.48074602497723,-0.05350749990486802,-14.14439787969784,-166.4681776806388
53.70317963702527,-0.05422318172488326,-14.58412944156538,-166.6675255451492
54.95408738576242,-0.05006261760097749,-15.01586033980843,-166.962442814798
56.23413251903491,-0.04820694285497799,-15.46085367108757,-167.1171274658676
57.54399373371567,-0.04638553627311522,-15.90506287257834,-167.3214674922731
58.88436553555889,-0.04593050338137537,-16.34056636178937,-167.4801226641966
60.25595860743574,-0.04296114205368927,-16.76678380816366,-167.5208860596478
61.65950018614823,-0.04139412020934748,-17.19064227952757,-167.753429039768
63.0957344480193,-0.04038210769213454,-17.61249095955769,-167.9108487247395
64.56542290346556,-0.03641317392805497,-18.03589024941298,-167.9289969608436
66.06934480075957,-0.03409960107100783,-18.46474769071757,-168.0755209260137
67.60829753919819,-0.03333728078765993,-18.88696486585859,-168.1850838907515
69.18309709189363,-0.03027056309956875,-19.30583379830901,-168.2289081851584
70.79457843841381,-0.03170601972473384,-19.72912125450109,-168.3029980329711
72.44359600749898,-0.03219547966628226,-20.1572761285728,-168.4092146072475
74.13102413009177,-0.02961686544874722,-20.54473390604017,-168.6023459476054
75.85775750291835,-0.02838532480109053,-20.97099060363812,-168.4579312350272
77.62471166286919,-0.02782494729160495,-21.41026914778983,-168.4839818556105
79.43282347242813,-0.02570330842023894,-21.82429946036808,-168.5605436193038
81.28305161640995,-0.0256926436553651,-22.21384296877041,-168.6206910675931
83.17637711026708,-0.02782150754986884,-22.64373839691461,-168.8547502110296
85.11380382023768,-0.02546042176837588,-23.05144125565902,-168.6890085712302
87.09635899560806,-0.02304000534521969,-23.46107263762804,-168.748744267343
89.12509381337459,-0.02571871922301082,-23.86788201973682,-168.8869733686219
91.20108393559096,-0.02675976465621432,-24.30519890521492,-168.6915245062517
93.32543007969915,-0.02393344858405066,-24.70275293059127,-168.9024319459093
95.49925860214358,-0.02754896947113057,-25.10533558932024,-168.9225242618969
97.72372209558111,-0.02424239185713665,-25.52525425685378,-168.7222616094716
100,-0.02306784210646442,-25.91625384050408,-168.5307372891383
102.3292992280755,-0.0247991688668066,-26.37485102855339,-168.4574179660502
104.71285480509,-0.02621357899514308,-26.77419660330552,-168.4419165727325
107.1519305237607,-0.02681718065173005,-27.19026399183804,-168.5310183306047
109.6478196143184,-0.02240829083362285,-27.60039108058757,-168.361161316195
112.2018454301963,-0.02248257431763457,-28.03695932372329,-168.4445758861995
114.8153621496882,-0.02507849783416592,-28.42125888933673,-168.5451172422509
117.4897554939528,-0.02509150250251411,-28.87140896543189,-168.7347251119928
120.2264434617412,-0.02449194319166333,-29.2829037659758,-168.3624289107894
123.0268770812381,-0.02350197924182153,-29.67243764187292,-168.1630085679304
125.8925411794166,-0.02527043976701013,-30.07336450824801,-168.4287083374975
128.8249551693132,-0.02270665798918249,-30.46992562392653,-167.7804651017577
131.8256738556406,-0.02428118686057688,-30.89543370428583,-167.5055288569175
134.8962882591653,-0.02266052930017179,-31.25971902447738,-167.5650669294178
138.0384264602884,-0.02758440899153213,-31.76637426860417,-167.2029369377944
